"","member_casual","weekday","number_of_rides","average_duration"
"1","casual","Sun",18652,5061.30436414326
"2","casual","Mon",5591,4752.05043820426
"3","casual","Tue",7311,4561.80385720148
"4","casual","Wed",7690,4480.37243172952
"5","casual","Thu",7147,8451.66685322513
"6","casual","Fri",8013,6090.73730188444
"7","casual","Sat",13473,4950.77080086098
"8","member","Sun",60197,972.938335797465
"9","member","Mon",110430,822.311201666214
"10","member","Tue",127974,769.441628768344
"11","member","Wed",121902,711.983790257748
"12","member","Thu",125228,707.209274283707
"13","member","Fri",115168,796.733788899694
"14","member","Sat",59413,974.072963829465
